,city,City Id,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,kutum,1,SD,14.2,24.67,92.79,8,10.42,68
1,mataura,2,NZ,-46.19,168.86,53.01,90,7.0,93
2,carnarvon,3,AU,-24.87,113.63,78.8,83,12.75,90
3,hasaki,4,JP,35.73,140.83,46.67,76,14.99,75
4,atar,5,MR,20.52,-13.05,102.85,7,9.8,0
5,velizh,6,RU,55.61,31.2,49.05,77,11.65,100
6,faanui,7,PF,-16.48,-151.75,82.02,78,10.09,80
7,coaldale,8,CA,49.72,-112.62,29.8,74,9.17,75
8,atuona,9,PF,-9.8,-139.03,81.97,79,13.65,97
9,kahului,10,US,20.89,-156.47,67.5,88,6.93,90
10,sorland,11,NO,67.67,12.69,34.93,69,5.82,20
11,beruwala,12,LK,6.48,79.98,81.68,81,2.48,26
12,asyut,13,EG,27.18,31.18,80.6,22,23.04,0
13,lufilufi,14,WS,-13.87,-171.6,80.6,88,16.11,75
14,bathurst,15,AU,-33.42,149.58,54.09,75,1.01,100
15,butaritari,16,KI,3.07,172.79,83.66,78,11.95,89
16,jamestown,17,US,42.1,-79.24,33.87,70,13.91,90
17,deder,18,ET,9.32,41.45,68.58,32,6.91,68
18,fort nelson,19,CA,58.81,-122.7,41.0,38,18.34,75
19,grindavik,20,IS,63.84,-22.43,39.2,73,10.29,40
20,kungurtug,21,RU,50.6,97.52,31.24,53,4.74,6
21,teluk intan,22,MY,4.03,101.02,84.13,83,2.24,20
22,rikitea,23,PF,-23.12,-134.97,75.72,71,7.34,100
23,punta arenas,24,CL,-53.15,-70.92,53.65,76,6.93,75
24,clyde river,25,CA,70.47,-68.59,-0.4,91,2.24,1
25,albany,26,US,42.6,-73.97,46.74,76,19.46,90
26,charleston,27,US,32.78,-79.93,74.91,69,10.29,1
27,tarata,28,BO,-17.62,-66.02,68.0,52,2.24,20
28,teya,29,RU,60.38,92.63,29.44,92,7.52,97
29,bluff,30,NZ,-46.6,168.33,53.01,90,7.0,98
30,huarmey,31,PE,-10.07,-78.15,79.18,63,5.99,81
