CityID,City,Country,Latitude,Longitude,Temperature,MaxTemperature,Humidity,Wind Speed,Cloudiness
1,busselton,AU,-33.65,115.33,73.0,73.0,42,6.26,100
2,rikitea,PF,-23.12,-134.97,76.86,76.86,75,6.22,86
3,portoferraio,IT,42.81,10.31,68.97,75.2,45,11.41,5
4,barkly west,ZA,-28.54,24.52,82.4,82.4,58,13.87,20
5,provideniya,RU,64.38,-173.3,22.39,22.39,96,5.5,100
6,inhambane,MZ,-23.86,35.38,84.2,84.2,54,4.7,40
7,yellowknife,CA,62.46,-114.35,-0.15,0.0,84,8.05,20
8,hoquiam,US,46.98,-123.89,46.67,48.0,87,11.41,90
9,salalah,OM,17.02,54.09,86.0,86.0,70,12.75,75
10,airai,TL,-8.93,125.41,62.38,62.38,74,1.21,72
11,maragogi,BR,-9.01,-35.22,85.05,85.05,66,7.7,60
12,lavrentiya,RU,65.58,-171.0,27.43,27.43,98,7.31,100
13,mar del plata,AR,-38.0,-57.56,55.24,62.01,100,3.36,90
14,atuona,PF,-9.8,-139.03,81.9,81.9,76,10.69,90
15,flin flon,CA,54.77,-101.86,15.8,15.8,72,11.41,20
16,saldanha,ZA,-33.01,17.94,75.2,75.2,60,8.05,100
17,bluff,NZ,-46.6,168.33,53.01,53.01,75,3.0,93
18,saint-pierre,RE,-21.34,55.48,75.74,82.4,65,27.51,20
19,butaritari,KI,3.07,172.79,84.09,84.09,77,9.91,97
20,sao filipe,CV,14.9,-24.5,76.19,76.19,72,17.27,0
21,buritis,BR,-15.62,-46.42,74.1,74.1,74,3.51,66
22,sibanicu,CU,21.23,-77.53,74.46,74.46,61,3.67,45
23,ushuaia,AR,-54.8,-68.3,42.8,42.8,60,4.7,40
24,tahoua,NE,14.89,5.27,100.4,100.4,8,11.41,68
25,arraial do cabo,BR,-22.97,-42.03,77.0,77.0,73,6.93,40
26,kapaa,US,22.08,-159.32,70.5,75.2,78,12.75,1
27,les cayes,HT,18.2,-73.75,79.39,79.39,79,5.84,91
28,castro,BR,-24.79,-50.01,60.15,60.15,60,4.63,92
29,bengkulu,ID,-3.8,102.27,81.52,81.52,76,4.92,34
30,nikolskoye,RU,59.7,30.79,41.11,44.01,48,20.13,75
31,mataura,NZ,-46.19,168.86,53.01,53.01,75,3.0,75
32,san jeronimo,PE,-11.95,-75.28,49.96,49.96,26,2.26,87
33,nanortalik,GL,60.14,-45.24,34.05,34.05,86,7.43,53
34,hirado,JP,33.36,129.55,53.46,55.4,76,4.7,100
35,jamestown,US,42.1,-79.24,32.72,36.0,80,4.7,90
36,quatre cocos,MU,-20.21,57.76,81.34,82.0,69,13.87,40
37,chandur bazar,IN,21.24,77.75,100.56,100.56,10,1.68,19
38,namatanai,PG,-3.67,152.43,82.85,82.85,75,7.18,88
39,punta arenas,CL,-53.15,-70.92,39.09,39.2,80,9.17,75
40,khatanga,RU,71.97,102.5,15.51,15.51,95,18.19,100
41,cape town,ZA,-33.93,18.42,70.63,73.0,73,18.34,40
42,lasa,IT,46.62,10.7,64.62,73.4,36,6.93,5
43,ixtapa,MX,20.7,-105.2,66.2,66.2,82,4.99,75
44,lebu,CL,-37.62,-73.65,52.66,52.66,81,11.14,3
45,lagoa,PT,39.05,-27.98,61.34,61.34,70,8.72,13
46,wanning,CN,18.8,110.4,76.87,76.87,84,3.89,86
47,aykhal,RU,66.0,111.5,32.0,32.0,91,8.95,97
48,vaini,TO,-21.2,-175.2,68.0,68.0,94,3.36,20
49,tiksi,RU,71.69,128.87,27.77,27.77,95,18.66,55
50,hirara,JP,24.8,125.28,72.07,72.07,83,8.12,92
51,adrar,MR,20.5,-10.07,93.36,93.36,14,16.08,0
52,coihaique,CL,-45.58,-72.07,36.27,37.4,93,7.76,40
53,yetkul,RU,54.82,61.59,55.4,55.4,32,15.66,40
54,anadyr,RU,64.75,177.48,1.17,1.4,77,8.95,40
55,cherskiy,RU,68.75,161.3,13.84,13.84,97,9.37,99
56,barrow,US,71.29,-156.79,-20.2,-20.2,82,10.29,1
57,komsomolskiy,UZ,40.43,71.72,62.08,62.6,33,2.24,100
58,hervey bay,AU,-25.3,152.85,76.39,77.0,83,5.82,78
59,odienne,CI,9.51,-7.57,96.87,96.87,27,5.99,60
60,raudeberg,NO,61.99,5.14,42.44,44.01,86,16.11,100
61,tasiilaq,GL,65.61,-37.64,30.2,30.2,46,21.92,40
62,stornoway,GB,58.21,-6.39,51.89,52.0,71,20.8,75
63,nador,MA,35.17,-2.93,63.57,64.4,77,9.17,90
64,port elizabeth,ZA,-33.92,25.57,69.8,69.8,52,4.7,98
65,faanui,PF,-16.48,-151.75,82.85,82.85,74,9.86,83
66,machinga,MW,-15.17,35.3,80.92,80.92,43,5.55,36
67,carnarvon,AU,-24.87,113.63,78.8,78.8,78,12.75,40
68,hilo,US,19.73,-155.09,62.96,68.0,82,4.7,1
69,jablah,SY,35.36,35.93,66.2,66.2,72,11.41,40
70,kanigiri,IN,15.4,79.52,95.7,95.7,25,15.41,1
71,talnakh,RU,69.49,88.4,21.2,21.2,67,13.42,40
72,berlevag,NO,70.86,29.09,29.1,29.1,90,11.27,100
73,torbay,CA,47.67,-52.73,39.51,39.99,86,13.87,75
74,new norfolk,AU,-42.78,147.06,49.14,51.8,76,9.17,75
75,port moresby,PG,-9.44,147.18,79.03,79.03,83,13.31,94
76,calama,CL,-22.47,-68.93,50.0,50.0,37,23.04,0
77,qaanaaq,GL,77.48,-69.36,8.29,8.29,74,7.56,69
78,mayo,US,38.89,-76.51,42.78,46.4,52,5.82,20
79,umm kaddadah,SD,13.6,26.69,97.77,97.77,7,16.13,38
80,olga,RU,43.74,135.29,30.02,30.02,94,7.76,63
81,saskylakh,RU,71.92,114.08,18.84,18.84,94,21.99,85
82,bredasdorp,ZA,-34.53,20.04,75.11,75.2,44,7.43,100
83,tagusao,PH,9.19,117.81,81.7,81.7,79,5.03,32
84,sambava,MG,-14.27,50.17,84.94,84.94,63,12.64,18
85,miri,MY,4.41,114.01,82.2,82.4,88,3.36,75
86,esperance,AU,-33.87,121.9,69.8,69.8,64,12.75,17
87,georgetown,MY,5.41,100.34,86.77,87.8,70,4.7,20
88,lucapa,AO,-8.42,20.74,79.68,79.68,56,5.73,54
89,xining,CN,36.62,101.77,48.56,48.56,17,7.52,0
90,singleton,AU,-32.57,151.18,64.26,66.0,42,14.99,0
91,hermanus,ZA,-34.42,19.23,74.1,75.0,72,4.0,100
92,longyearbyen,SJ,78.22,15.64,1.4,1.4,59,3.36,20
93,fairbanks,US,64.84,-147.72,19.49,24.01,92,2.55,20
94,beringovskiy,RU,63.05,179.32,6.64,6.64,93,13.29,95
95,atar,MR,20.52,-13.05,93.2,93.2,15,11.41,0
96,westport,US,41.14,-73.36,40.6,43.0,41,12.75,1
97,severo-kurilsk,RU,50.68,156.12,30.7,30.7,94,12.03,19
98,nokaneng,BW,-19.67,22.27,84.06,84.06,31,7.78,30
99,coquimbo,CL,-29.95,-71.34,57.2,57.2,71,4.7,66
100,opuwo,NA,-18.06,13.84,86.25,86.25,28,13.82,23
101,troitsko-pechorsk,RU,62.71,56.2,31.41,31.41,89,3.58,100
102,puerto ayora,EC,-0.74,-90.35,77.67,78.8,88,12.75,40
103,hojai,IN,26.0,92.87,87.93,87.93,27,4.0,13
104,buluang,PH,13.31,123.34,78.31,78.31,82,5.01,25
105,kendari,ID,-3.94,122.5,77.31,77.31,91,2.8,99
106,narsaq,GL,60.92,-46.05,44.6,44.6,42,4.7,20
